id;name;birth_date
1;Susan Cooper;2020-07-15
2;Terry Brooks;2020-07-16
3;Isaac Asimov;2020-07-16
4;Candace Bushnell;2020-07-16
5;Jerry Spinelli;2020-07-15
6;Jodi Picoult;2020-07-15
7;Jodi Picoult;2020-07-16
8;Gary Jennings;2020-07-15
9;Brian Jacques;2020-07-16
10;Cassandra Clare;2020-07-16
11;Kate Morton;2020-07-15
12;Frederick Forsyth;2020-07-16
13;Charlaine Harris;2020-07-16
14;Tamora Pierce;2020-07-16
15;Walter Isaacson;2020-07-15
16;Tamora Pierce;2020-07-15
17;Cecelia Ahern;2020-07-16
18;Kristin Cashore;2020-07-15
19;Henry James;2020-07-16
20;David James Duncan;2020-07-16
21;Jodi Picoult;2020-07-15
22;Janet Evanovich;2020-07-16
23;Jeaniene Frost;2020-07-16
24;Marie Lu;2020-07-16
25;Ted Dekker;2020-07-15
26;Nelson DeMille;2020-07-15
27;John Grisham;2020-07-16
28;Rainbow Rowell;2020-07-15
29;Rick Riordan;2020-07-16
30;Harlan Coben;2020-07-16
31;Mary Higgins Clark;2020-07-15
32;Sally Green;2020-07-16
33;Oscar Wilde;2020-07-16
34;Kelley Armstrong;2020-07-16
35;Charles Bukowski;2020-07-15
36;Melissa de la Cruz;2020-07-15
37;Don Freeman;2020-07-16
38;John Grisham;2020-07-15
39;Richard Yates;2020-07-16
40;William Gibson;2020-07-16
41;Joseph Heller;2020-07-15
42;Tori Spelling;2020-07-16
43;Ezra Jack Keats;2020-07-16
44;Chuck Palahniuk;2020-07-16
45;Malorie Blackman;2020-07-15
46;Vince Flynn;2020-07-15
47;Laura McHugh;2020-07-16
48;George Saunders;2020-07-15
49;Lara Adrian;2020-07-16
50;Bill Clegg;2020-07-16
51;Judith Kerr;2020-07-15
52;David Wiesner;2020-07-16
53;P.G. Wodehouse;2020-07-16
54;Laurell K. Hamilton;2020-07-16
55;Clive Barker;2020-07-15
56;Jack London;2020-07-15
57;Susan  Wilson;2020-07-16
58;Terry Brooks;2020-07-15
59;Brady Udall;2020-07-16
60;C.C. Hunter;2020-07-16
61;J.R. Ward;2020-07-15
62;Philip Roth;2020-07-16
63;Richard Matheson;2020-07-16
64;Rachel Hawkins;2020-07-16
65;Stephen King;2020-07-15
66;Iain M. Banks;2020-07-15
67;Virginia Woolf;2020-07-16
68;James Patterson;2020-07-15
69;Meg Cabot;2020-07-16
70;Terry Brooks;2020-07-16
71;David Gemmell;2020-07-15
72;Megan Whalen Turner;2020-07-16
73;Jennifer Crusie;2020-07-16
74;Isaac Asimov;2020-07-16
75;Laurell K. Hamilton;2020-07-15
76;W. Bruce Cameron;2020-07-15
77;Mike Carey;2020-07-16
78;David Mitchell;2020-07-15
79;Tessa Dare;2020-07-16
80;Cecelia Ahern;2020-07-16
81;Patrick O'Brian;2020-07-15
82;Alison Weir;2020-07-16
83;Kelley Armstrong;2020-07-16
84;Tamora Pierce;2020-07-16
85;James Patterson;2020-07-15
86;Terry Pratchett;2020-07-15
87;Bryce Courtenay;2020-07-16
88;Deborah Harkness;2020-07-15
89;Sam Harris;2020-07-16
90;Karin Slaughter;2020-07-16
91;Liane Moriarty;2020-07-15
92;Robert   Harris;2020-07-16
93;Maya Banks;2020-07-16
94;Jennifer Rush;2020-07-16
95;Karin Slaughter;2020-07-15
96;Steve Berry;2020-07-15
97;Mary Higgins Clark;2020-07-16
98;Dolen Perkins-Valdez;2020-07-15
99;Kim Stanley Robinson;2020-07-16
100;Kass Morgan;2020-07-16
101;Rick Riordan;2020-07-15
102;Audrey Niffenegger;2020-07-16
103;"V.E. Schwab; Victoria Schwab";2020-07-16
104;Katie Alender;2020-07-16
105;Isaac Asimov;2020-07-15
106;Danielle Steel;2020-07-15
107;David Herbert Donald;2020-07-16
108;Rick Riordan;2020-07-15
109;Henry Miller;2020-07-16
110;Toni Morrison;2020-07-16
111;Melanie Gideon;2020-07-15
112;Arnold Lobel;2020-07-16
113;Barbara Kingsolver;2020-07-16
114;Kurt Vonnegut Jr.;2020-07-16
115;Janet Evanovich;2020-07-15
116;Charles Dickens;2020-07-15
117;Jane Green;2020-07-16
118;Kazuo Ishiguro;2020-07-15
119;Alistair MacLean;2020-07-16
120;Margaret Atwood;2020-07-16
121;Daniel Silva;2020-07-15
122;Sherrilyn Kenyon;2020-07-16
123;Kevin Hearne;2020-07-16
124;Robert K. Massie;2020-07-16
125;C.S. Lewis;2020-07-15
126;P.G. Wodehouse;2020-07-15
127;Linda Howard;2020-07-16
128;Erin Hunter;2020-07-15
129;Clare Vanderpool;2020-07-16
130;Margaret Atwood;2020-07-16
131;Dean Koontz;2020-07-15
132;Beth Harbison;2020-07-16
133;Julie Garwood;2020-07-16
134;Daniel Woodrell;2020-07-16
135;James Agee;2020-07-15
136;John Grisham;2020-07-15
137;Jean Anouilh;2020-07-16
138;William Gibson;2020-07-15
139;"Roald Dahl; Quentin Blake";2020-07-16
140;Alison Weir;2020-07-16
141;Rita Williams-Garcia;2020-07-15
142;Lauren Kate;2020-07-16
143;Ray Bradbury;2020-07-16
144;Joelle Charbonneau;2020-07-16
145;Julie Buxbaum;2020-07-15
146;Louise Penny;2020-07-15
147;Terry Pratchett;2020-07-16
148;Jennifer Weiner;2020-07-15
149;Jeanne DuPrau;2020-07-16
150;Lorrie Moore;2020-07-16
151;Jeff Kinney;2020-07-15
152;Georgia Cates;2020-07-16
153;Ken Follett;2020-07-16
154;Indu Sundaresan;2020-07-16
155;James Ellroy;2020-07-15
156;Chuck Palahniuk;2020-07-15
