id;title;description;publication_date;price
1;The Dark Is Rising;Scholastic Inc.;2020-07-15;652
2;The Black Unicorn ;Scholastic Inc.;2020-07-16;870
3;"I; Robot";Scholastic;2020-07-16;352
4;Four Blondes;Scholastic Inc.;2020-07-16;435
5;"Love; Stargirl";Scholastic;2020-07-15;2690
6;The Tenth Circle;Nimble Books;2020-07-15;152
7;Vanishing Acts;Scholastic;2020-07-16;3342
8;Aztec;Gramercy Books;2020-07-15;815
9;Marlfox;Del Rey Books;2020-07-16;815
10;Lady Midnight;Crown;2020-07-16;215
11;The Secret Keeper;Random House Audio;2020-07-15;6
12;The Afghan;Wings Books;2020-07-16;815
13;A Touch of Dead;Broadway Books;2020-07-16;544
14;Daja's Book;Broadway Books;2020-07-16;55
15;Steve Jobs;Broadway Books;2020-07-15;256
16;Cold Fire;Broadway Books;2020-07-15;335
17;Thanks for the Memories;Broadway Books;2020-07-16;304
18;Bitterblue;William Morrow Paperbacks;2020-07-15;299
19;Daisy Miller;William Morrow Paperbacks;2020-07-16;254
20;The Brothers K;William Morrow Paperbacks;2020-07-16;324
21;The Pact;William Morrow Paperbacks;2020-07-15;270
22;Plum Spooky;Ballantine Books;2020-07-16;1728
23;Twice Tempted ;Houghton Mifflin Harcourt;2020-07-16;1184
24;Legend;Houghton Mifflin Harcourt;2020-07-16;398
25;Thr3e;Houghton Mifflin Harcourt;2020-07-15;1216
26;The Lion's Game;Houghton Mifflin Harcourt;2020-07-15;218
27;The Rainmaker;Houghton Mifflin Harcourt;2020-07-16;224
28;Eleanor & Park;Pragmatic Bookshelf;2020-07-15;558
29;The Lightning Thief;Atheneum Books for Young Readers: Richard Jackson Books;2020-07-16;208
30;The Final Detail;Teacher Created Resources;2020-07-16;48
31;A Cry in the Night;Delacorte Press;2020-07-15;144
32;Half Bad;Cherry Lane Music Company;2020-07-16;56
33;Lady Windermere's Fan;The New Press;2020-07-16;228
34;The Awakening;Changeling Press;2020-07-16;304
35;Ham on Rye;Viking Juvenile;2020-07-15;256
36;The Van Alen Legacy ;Firebird;2020-07-15;137
37;A Pocket for Corduroy;iUniverse;2020-07-16;228
38;The Street Lawyer;Shambhala;2020-07-15;339
39;Revolutionary Road;Ivy Books;2020-07-16;369
40;Neuromancer;Amistad;2020-07-16;388
41;Catch-22;HarperAudio;2020-07-15;14
42;sTORI Telling;Harper;2020-07-16;576
43;The Snowy Day;FT Press;2020-07-16;334
44;Invisible Monsters;Archaia;2020-07-16;352
45;Noughts & Crosses;Farrar  Straus and Giroux;2020-07-15;416
46;Separation of Power;Farrar Straus Giroux;2020-07-15;248
47;The Weight of Blood;Farrar  Straus and Giroux;2020-07-16;128
48;Lincoln in the Bardo;Farrar  Straus and Giroux;2020-07-15;288
49;Kiss of Midnight;Farrar  Straus and Giroux;2020-07-16;720
50;Did You Ever Have a Family;Farrar  Straus and Giroux;2020-07-16;448
51;The Tiger Who Came to Tea;Farrar  Straus and Giroux;2020-07-15;160
52;Tuesday;Farrar  Straus and Giroux;2020-07-16;288
53;My Man Jeeves;Farrar  Straus and Giroux;2020-07-16;208
54;Hit List;Dramatists Play Service;2020-07-16;81
55;Cabal;Vintage;2020-07-15;249
56;The Sea Wolf;Routledge;2020-07-15;138
57;One Good Dog;North Light Books;2020-07-16;128
58;A Knight of the Word ;Chosen Books;2020-07-15;192
59;The Lonely Polygamist;Association for Supervision & Curriculum Development;2020-07-16;108
60;Born at Midnight;Kingfisher;2020-07-16;352
61;Lover Reborn;ASCD;2020-07-15;192
62;The Plot Against America;Sovereign World;2020-07-16;192
63;I Am Legend ;Workman Publishing Company;2020-07-16;832
64;Hex Hall;One Hour Entertainment;2020-07-16;123
65;It;North Light Books;2020-07-15;128
66;The Player of Games;Ace Books;2020-07-15;423
67;The Waves;Ace Books;2020-07-16;436
68;The Angel Experiment;Ace Books;2020-07-15;331
69;Teen Idol;Tor Books;2020-07-16;592
70;Armageddon's Children;Putnam;2020-07-16;480
