book_id;author_id
1;1
1;2
1;3
2;4
3;5
5;4
6;7
7;8
8;5
9;3
10;12
11;13
13;7
21;3
399;1084
2657;4068
4080;1665
2606;3663
4493;3656
357;4916
1174;2473
4596;2116
2032;2235
3392;1632
176;2257
3489;1790
72;2098
4586;2079
3802;4280
1740;130
3495;2978
1208;4639
1284;128
2711;4135
4399;2938
3512;4685
3736;3266
414;892
4217;4962
3012;2513
4922;2904
298;958
599;4392
1766;3548
911;4163
2878;2271
836;541
1846;692
2159;2816
2004;4806
616;3828
4578;2650
3571;1366
4540;3464
3669;4340
2726;499
1120;433
1386;3315
1353;3222
4187;3004
4759;3496
1890;4789
1981;4800
2098;829
4081;1039
1098;4363
621;1067
2346;2397
3238;4943
1522;1237
4883;1680
2869;1210
3634;4277
2948;224
1369;3846
4504;3475
3091;4728
2832;2745
4239;3107
4832;2067
4680;2910
3381;4908
1295;483
4942;1687
2859;4814
2840;4119
943;3888
1038;4254
2477;4776
224;2696
2032;4663
4175;2083
427;4418
2694;799
896;4894
4216;4452
3802;2862
1022;1570
927;1630
4640;3373
1824;2458
4739;1235
4505;1827
3821;1294
3526;2894
2454;2458
455;4088
2716;766
1366;3327
4147;4894
1731;4372
4085;608
2680;1725
1941;4508
1461;3920
4879;2181
2942;3849
3426;910
215;3876
3000;2678
732;3562
297;4916
3705;4104
1009;292
585;7
2838;2084
3395;1852
2380;3975
4776;3342
4614;1308
2329;1037
4216;1050
2007;4640
3957;704
410;2016
1502;4715
1379;4162
3009;3111
4273;3634
66;4372
2191;3025
926;4778
4843;948
3830;4083
1356;2877
4011;4328
2774;626
3769;2210
621;1623
1768;376
3722;1234
4124;4017
367;1510
3853;1803
1727;3783
3058;3954
2709;3827
1634;177
199;2783
2760;4350
2742;2961
4257;1430
552;3014
3132;4791
4653;3321
661;576
3364;3655
3045;2256
3256;41
66;4618
2690;4894
3213;3871
3805;467
262;2425
1404;442
3168;2776
3213;4105
384;521
1210;3820
2063;223
567;4721
1558;1233
2486;3358
3855;1941
1051;3647
115;4649
3094;289
2231;4257
4436;4149
884;1108
2760;2652
2254;1715
3662;1910
1471;782
488;4556
418;3227
3880;4777
748;3055
2030;4250
2275;3195
879;1576
3402;2339
2164;3641
600;4811
4098;4176
3500;2255
2626;4979
4805;1231
3098;1
2897;2935
4048;1679
297;984
4199;2535
1948;1229
3178;2320
4866;1707
2180;2193
3305;4225
936;2319
2352;925
4311;3264
3909;4925
4178;1071
4834;3878
2644;4539
4527;4831
4313;4131
3863;3659
89;2282
646;3799
25;349
3886;1352
21;4485
3180;4005
2402;1838
1790;1810
1191;560
4779;3515
1218;3640
1641;3909
1932;1747
1630;2851
4781;3951
1023;4987
4332;2528
4710;914
4282;3508
2429;1618
2219;1661
225;2000
4041;3257
3217;1471
3883;2794
545;2209
4205;4357
289;3227
2274;2370
4869;456
4392;3490
666;2441
3603;2831
2485;1785
4474;3330
4900;4082
277;1372
837;2273
2880;4409
3489;313
4377;1454
2381;4683
1535;364
3522;1358
4365;2845
139;4403
4403;2188
573;1459
1737;3988
1898;4063
3857;3338
1171;1617
4073;3666
2366;1455
2257;1151
470;3389
919;1103
3221;427
4094;327
2251;3219
2789;460
368;1744
824;4993
3698;3296
3245;4865
2296;1349
507;1939
3790;3480
195;4767
2071;272
4992;2310
2732;3793
3749;1293
4227;4565
363;787
3647;1633
3664;1335
1164;1764
2407;3772
1056;1513
343;2336
1306;2846
578;4562
2705;3205
762;1145
560;3376
4307;4780
1333;1246
1728;3742
1279;2577
359;1400
395;2217
3410;3331
749;2542
2127;3640
1276;2608
3414;898
1042;4539
3601;1023
134;3259
2515;1166
3860;4724
3812;3117
2924;3137
1382;3266
2284;4330
374;334
1883;501
193;1639
4797;1291
4212;525
3343;3573
577;3171
4338;4261
3934;4387
1005;1236
3475;4450
99;853
4486;2747
997;2819
3699;3649
421;3586
699;2976
58;137
1822;3324
456;2961
1556;4570
1291;4665
4001;3207
635;3538
4330;3630
3338;4641
446;1033
3324;3933
29;4348
1000;3281
3296;2454
1441;2141
937;2430
3505;923
3098;770
2908;3527
352;4380
3358;3022
190;1919
3480;241
720;4431
32;2451
3013;3197
893;930
322;190
1031;1226
2666;467
66;4331
2663;808
4499;4685
2487;3302
3650;1446
2297;686
510;2196
1670;2750
1689;3686
4676;3381
3516;2596
2925;544
1302;3627
2625;361
884;3547
139;4226
3284;803
4487;199
887;1494
153;4083
4178;2151
4654;3134
1343;626
3611;680
3072;2017
3460;2654
2341;4340
3116;442
1019;1788
3762;774
1548;4838
985;1917
3191;4706
4965;2956
3820;2928
1449;624
2521;1021
1050;1503
736;1008
88;1820
3647;4839
3818;804
2054;373
4713;464
3604;4956
2342;971
4484;3682
3699;713
3922;3981
4080;748
3475;4268
4583;2281
1823;58
4138;1912
4073;3441
1980;595
3970;10
2487;2380
42;1561
1507;1394
2427;1864
2228;1334
239;1548
2796;720
956;4496
2074;2109
2111;3178
1128;1885
3752;938
1416;329
2964;4934
4256;4293
398;2249
2870;3106
1399;4754
641;3221
3418;4787
1566;3166
2769;3975
4995;4468
2014;1102
2266;396
962;3709
955;230
2644;2880
3901;1668
3505;2633
3548;3564
923;2716
3241;3056
3418;3728
2668;3573
2903;4816
3687;3663
11;3228
251;2497
4292;2715
3322;4428
1910;4739
2849;4406
688;2144
3582;3507
235;2398
3224;2766
3339;1159
236;2427
2317;678
2175;50
2445;4646
2841;4892
56;1464
1405;1303
2320;3708
2372;4044
1028;3803
631;3427
2569;4899
4551;2982
2901;530
4208;190
4261;4318
4477;3679
706;4847
4751;2237
1707;2019
1616;220
3938;3102
3960;2230
3084;3506
2248;4402
1405;4336
2307;1903
4516;1965
4206;1201
2849;1840
2179;871
2717;2529
2984;22
4581;835
1522;4686
4249;2457
1205;489
2865;2796
438;4779
1036;1081
2146;2909
1599;4855
4855;523
3357;2284
4994;4406
625;2758
3521;3247
2698;4313
4391;3185
1874;500
2588;3324
1017;3813
2129;1617
361;609
1936;870
2356;4882
1953;1438
2308;3879
3791;1719
3791;4108
3685;4636
2962;3478
3230;3364
4424;3995
597;2702
1563;2873
3491;2142
1031;3372
1994;4634
481;2430
3850;2648
2005;1147
1034;4703
2866;2991
1854;1193
4045;3538
1690;2720
482;1993
2025;854
449;3235
993;2208
4129;4961
3144;2028
2227;637
4890;3757
3870;2521
4661;1679
1266;1523
4334;4224
352;2514
680;4772
4781;1950
3108;1203
3475;2204
2486;4597
2753;3608
3871;3835
2050;1525
1829;1807
2026;786
4299;489
3533;3879
4878;2871
3503;3305
2336;386
3336;4190
1631;4256
267;3288
4877;3988
3361;3313
58;3846
492;65
4137;2258
4271;829
2144;2973
894;1093
3750;244
3652;1847
1196;2883
1522;1686
3118;662
4826;3323
2123;3550
4405;3057
2253;2628
3350;3296
4921;3188
1777;3029
1621;1385
2601;4223
587;3769
456;2603
1174;2067
1652;1925
4676;2123
1429;2645
662;1313
3050;448
4380;3546
1069;2312
2646;3695
4814;4275
4185;2422
1661;4289
2769;1059
618;2829
2285;1536
139;4542
501;335
909;4350
3261;2922
4585;979
1637;1835
3392;1785
3779;4410
2661;839
4043;1081
1903;2971
3331;2312
2997;3681
1208;1949
209;1959
4018;875
1868;4125
1035;4879
1029;4579
2744;4265
4450;1418
1497;1900
4544;323
1433;2838
4756;4913
4689;3600
4220;3212
2529;1992
3007;3838
4921;1718
3035;973
4770;1351
3019;2927
2673;4326
212;2842
57;3531
2165;1580
4904;2808
2399;4669
1888;2346
1044;4235
2235;4188
2868;2863
1090;3413
1174;382
2883;581
4475;87
3152;3703
3335;876
4160;2941
1280;2042
1218;1984
2827;2641
466;2182
3762;731
4306;172
1676;342
4096;4612
843;1132
3845;2739
4705;962
3281;3970
2018;3879
2899;2400
2347;609
3409;3113
2218;4291
3546;601
4615;1060
35;919
3902;214
3551;4452
2450;163
1662;2162
3502;1609
2728;1159
3922;4597
1224;3507
3332;3380
298;4661
2878;171
609;4760
1019;3626
1310;984
4170;3849
1593;3768
3349;3351
3470;2879
2440;3957
4678;1103
52;237
1714;707
4413;4554
2397;1031
1476;3195
2427;1520
3372;1711
61;4989
3387;123
1610;4615
3965;3684
1321;1072
2270;1112
1979;2060
1845;496
874;2196
1823;98
2060;920
659;1079
255;3212
440;3569
3995;3546
3812;4314
4318;683
2357;1095
446;1672
863;4710
2383;2149
667;791
2422;1544
3137;3316
1155;3620
3082;91
2524;2255
3392;1555
1201;1513
1143;180
2396;1088
3191;2468
903;1546
1354;2277
1051;4702
195;2144
2446;1512
2403;601
3406;2351
1972;3570
2717;3768
4966;3916
497;504
3518;981
2529;3477
2291;4847
4170;2515
4274;449
2080;480
4341;4727
4572;15
1337;4689
50;3708
1887;2978
2337;1816
4221;3802
3082;1583
4417;766
2737;1873
600;3211
3235;4689
996;557
4469;3823
4660;1315
3203;127
2642;4492
2275;1616
3737;369
4791;4220
2478;1215
2641;205
2839;4005
4797;4403
894;3543
2834;4521
1920;1024
3228;843
2872;525
2080;1562
2197;2758
2380;3452
3612;184
3811;2600
2709;4935
4976;3969
4324;2459
4654;2913
476;988
2267;2577
4333;859
1515;3480
1988;1948
3573;2527
4393;2057
1106;1588
4999;739
4010;2324
3907;494
623;3742
1375;2976
2220;2508
3889;1651
3922;2588
1333;2417
1549;3286
2691;1268
3620;3111
3726;4696
1025;1315
2336;1865
2093;1125
1559;4973
3279;1648
1490;3014
4494;1291
1262;2823
1251;1239
4843;3132
2470;4507
2220;2990
186;3992
973;102
3490;1767
35;4377
1575;759
2854;1277
597;2504
2340;1803
4778;1167
1407;2575
1171;1039
4094;3128
932;4967
926;696
3978;770
4315;3127
2001;2123
1156;146
306;2436
2691;3016
2267;2617
3563;4861
3714;2912
2903;1779
590;3244
4736;1611
3209;3877
1774;544
1397;4343
3311;4473
3184;4437
386;4990
4281;1184
2815;1694
2169;3488
760;362
143;2329
2387;1999
1673;3695
3654;4477
251;3131
950;4378
502;1319
194;446
1027;3389
3871;242
876;3949
4166;3825
911;4830
794;2745
4784;2131
115;1441
2268;31
3815;1518
3899;1400
779;728
4113;1807
583;146
2884;3408
916;3281
2053;3382
2609;3891
421;2249
3330;1013
2601;3383
1365;2366
4542;753
2002;1117
4256;4699
4201;906
1731;2269
778;3109
2512;1419
2113;1744
2813;674
4086;935
4398;2934
2381;3191
89;1873
102;836
455;405
958;4708
3202;2021
2975;4660
4216;2756
4054;3796
1446;668
331;879
2146;1712
2633;66
1421;4625
1875;4785
2613;1944
939;3970
3751;376
3006;2627
4440;3428
457;1141
207;4888
1278;4909
4834;4835
1920;1457
928;41
221;3518
4348;1703
2176;931
665;1168
4996;392
2478;2533
4445;3247
4887;799
177;4982
83;1463
2178;2804
53;501
753;2403
1958;4601
4351;1858
3172;179
4089;3894
1653;6
1517;2841
1588;3732
1340;3038
2002;2855
3825;4015
3218;4564
3787;1782
2114;1321
1517;3800
1415;3924
1079;1226
4505;4452
2714;3737
4068;3925
1149;4663
1219;2233
2768;957
125;3559
3459;1401
2378;4589
977;1813
611;4594
4983;3456
2567;2504
3218;2905
2914;2976
4365;1995
3629;2766
4920;4725
3161;1902
897;1676
3573;2065
2561;2566
1087;4238
1966;1471
2332;746
4941;3508
2207;2577
4536;4792
2796;1364
3334;2854
1194;2258
1664;4435
4615;872
1253;1285
2248;4522
3053;3730
2077;3083
852;4116
1031;1332
776;2476
2765;532
72;1635
2589;430
2923;4753
2086;1482
4088;3821
2829;270
3516;3067
1645;4705
2458;4286
3552;1747
1963;2942
3839;3783
4149;122
1881;1230
3991;153
2963;1270
3475;4057
1522;2285
1280;4285
635;2043
2978;1023
4868;2126
4567;2918
1719;1991
4636;2421
4965;4580
1902;2055
2769;2156
3566;3029
469;3360
4285;2632
1821;3061
4320;1521
1691;3569
1787;3906
138;3003
14;4554
634;652
1480;4530
1834;589
664;2540
2525;1048
2389;2135
1889;3020
2790;4417
1962;3794
2377;219
3737;3634
4803;3555
948;1288
3310;427
4191;1700
1839;1606
262;738
4219;2057
428;180
3324;444
3055;913
4950;1875
3964;1831
1333;2715
3727;4884
3001;3492
604;2420
4189;775
85;4602
1242;2834
4346;2302
4957;3863
3230;3341
3603;254
4145;4191
3361;3642
3893;4338
1626;3378
225;4493
4356;4059
4356;3154
426;1076
1511;4662
3312;4370
1935;1343
3309;2438
324;4012
840;1611
4977;2608
3230;35
484;3632
4979;1020
4404;2777
3366;4781
4836;1279
4590;41
3003;1582
2793;4894
4765;3768
1399;2839
486;235
1172;4312
3526;3292
1554;1956
1753;3266
598;4743
604;3898
360;3966
2466;4116
1138;4259
1675;4038
3001;1898
476;239
3221;1252
914;2045
2791;4431
1138;3872
625;4297
2780;2002
2332;3930
442;2119
2171;1971
280;2484
4788;4816
4590;4841
283;595
2915;879
2074;3262
1266;3065
1930;2771
3004;3192
3213;3345
1165;1026
2772;508
3110;1032
2060;3703
514;616
2935;3828
1303;4428
4965;2975
2836;4192
2062;2346
1827;501
1978;4379
3027;534
862;3772
3633;1538
4086;4589
4018;4796
