GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Cebrailapp,com.cebrail.app.service.mapper,UserMapper,37,81,4,2,14,23,6,5,3,5
Cebrailapp,com.cebrail.app.repository,CustomAuditEventRepository,12,122,2,10,3,28,3,7,1,3
Cebrailapp,com.cebrail.app.service.dto,UserDTO,0,242,0,0,0,60,0,29,0,29
Cebrailapp,com.cebrail.app.service.dto,PasswordChangeDTO,0,26,0,0,0,12,0,6,0,6
Cebrailapp,com.cebrail.app.service.dto,BookCriteria,270,45,42,0,29,20,26,13,5,13
Cebrailapp,com.cebrail.app.service.dto,AuthorCriteria,194,31,30,0,23,14,20,9,5,9
Cebrailapp,com.cebrail.app.aop.logging,LoggingAspect,116,0,10,0,27,0,11,0,6,0
Cebrailapp,com.cebrail.app.security,UserNotActivatedException,5,4,0,0,2,2,1,1,1,1
Cebrailapp,com.cebrail.app.security,DomainUserDetailsService,20,111,0,4,0,20,2,8,2,6
Cebrailapp,com.cebrail.app.security,SecurityUtils,67,22,11,3,15,7,12,3,6,2
Cebrailapp,com.cebrail.app.security,SpringSecurityAuditorAware,0,9,0,0,0,2,0,2,0,2
Cebrailapp,com.cebrail.app.config,DatabaseConfiguration,40,10,4,0,10,4,4,1,2,1
Cebrailapp,com.cebrail.app.config,SecurityConfiguration,0,220,0,0,0,53,0,5,0,5
Cebrailapp,com.cebrail.app.config,ApplicationProperties,0,3,0,0,0,1,0,1,0,1
Cebrailapp,com.cebrail.app.config,StaticResourcesWebConfiguration,70,0,0,0,13,0,7,0,7,0
Cebrailapp,com.cebrail.app.config,LoggingAspectConfiguration,5,3,0,0,1,1,1,1,1,1
Cebrailapp,com.cebrail.app.config,LoggingConfiguration,11,51,5,5,3,14,5,1,0,1
Cebrailapp,com.cebrail.app.config,LocaleConfiguration,0,24,0,0,0,8,0,3,0,3
Cebrailapp,com.cebrail.app.config,WebConfigurer,71,141,12,6,16,33,11,6,2,6
Cebrailapp,com.cebrail.app.config,AsyncConfiguration,4,46,0,0,1,11,1,2,1,2
Cebrailapp,com.cebrail.app.config,CacheConfiguration,8,121,0,2,4,25,2,8,2,7
Cebrailapp,com.cebrail.app.config,JacksonConfiguration,0,23,0,0,0,6,0,6,0,6
Cebrailapp,com.cebrail.app.config,DateTimeFormatConfiguration,0,14,0,0,0,5,0,2,0,2
Cebrailapp,com.cebrail.app.config,LiquibaseConfiguration,4,91,1,1,1,21,1,2,0,2
Cebrailapp,com.cebrail.app.config,CloudDatabaseConfiguration,15,0,0,0,4,0,2,0,2,0
Cebrailapp,com.cebrail.app.web.rest,AccountResource,12,197,2,22,1,48,3,21,1,11
Cebrailapp,com.cebrail.app.web.rest,ClientForwardController,2,3,0,0,1,1,1,1,1,1
Cebrailapp,com.cebrail.app.web.rest,AuthorResource,0,162,0,4,0,31,0,9,0,7
Cebrailapp,com.cebrail.app.web.rest,AuditResource,0,60,0,0,0,12,0,4,0,4
Cebrailapp,com.cebrail.app.web.rest,UserResource,0,201,0,14,0,39,0,14,0,7
Cebrailapp,com.cebrail.app.web.rest,UserJWTController,0,67,0,2,0,13,0,3,0,2
Cebrailapp,com.cebrail.app.web.rest,AccountResource.AccountResourceException,0,4,0,0,0,2,0,1,0,1
Cebrailapp,com.cebrail.app.web.rest,UserJWTController.JWTToken,4,9,0,0,2,4,1,2,1,2
Cebrailapp,com.cebrail.app.web.rest,BookResource,0,162,0,4,0,31,0,9,0,7
Cebrailapp,com.cebrail.app.web.rest.errors,LoginAlreadyUsedException,0,7,0,0,0,2,0,1,0,1
Cebrailapp,com.cebrail.app.web.rest.errors,InvalidPasswordException,0,6,0,0,0,2,0,1,0,1
Cebrailapp,com.cebrail.app.web.rest.errors,BadRequestAlertException,0,54,0,0,0,12,0,5,0,5
Cebrailapp,com.cebrail.app.web.rest.errors,ErrorConstants,0,16,0,0,0,5,0,1,0,1
Cebrailapp,com.cebrail.app.web.rest.errors,ExceptionTranslator,13,218,4,10,4,42,4,12,0,9
Cebrailapp,com.cebrail.app.web.rest.errors,EmailAlreadyUsedException,0,7,0,0,0,2,0,1,0,1
Cebrailapp,com.cebrail.app.web.rest.errors,FieldErrorVM,0,21,0,0,0,8,0,4,0,4
Cebrailapp,com.cebrail.app.web.rest.vm,LoginVM,19,24,0,0,1,10,1,7,1,7
Cebrailapp,com.cebrail.app.web.rest.vm,ManagedUserVM,12,10,0,0,1,5,1,3,1,3
Cebrailapp,com.cebrail.app.web.rest.vm,KeyAndPasswordVM,0,17,0,0,0,7,0,5,0,5
Cebrailapp,com.cebrail.app.security.jwt,TokenProvider,69,108,1,3,19,28,3,4,2,3
Cebrailapp,com.cebrail.app.security.jwt,JWTFilter,21,30,6,2,3,11,4,3,0,3
Cebrailapp,com.cebrail.app.security.jwt,JWTConfigurer,0,18,0,0,0,6,0,2,0,2
